timestamp_ms,discomfort_nrs,user_continues
0.0,4.7,1
1000.0,4.7,1
2000.0,4.7,1
3000.0,4.7,1
4000.0,4.7,1
5000.0,4.7,1
6000.0,4.7,1
7000.0,4.7,1
8000.0,4.7,1
9000.0,4.7,1
10000.0,4.7,1
11000.0,4.7,1
12000.0,4.7,1
13000.0,4.7,1
14000.0,4.7,1
15000.0,4.7,1
16000.0,4.7,1
17000.0,4.7,1
18000.0,4.7,1
19000.0,4.7,1
20000.0,4.7,1
21000.0,4.7,1
22000.0,4.7,1
23000.0,4.7,1
24000.0,4.7,1
25000.0,4.7,1
26000.0,4.7,1
27000.0,4.7,1
28000.0,4.7,1
29000.0,4.7,1
30000.0,4.7,1
31000.0,4.7,1
32000.0,4.7,1
33000.0,4.7,1
34000.0,4.7,1
35000.0,4.7,1
36000.0,4.7,1
37000.0,4.7,1
38000.0,4.7,1
39000.0,4.7,1
40000.0,4.7,1
41000.0,4.7,1
42000.0,4.7,1
43000.0,4.7,1
44000.0,4.7,1
45000.0,4.7,1
46000.0,4.7,1
47000.0,4.7,1
48000.0,4.7,1
49000.0,4.7,1
50000.0,4.7,1
51000.0,4.7,1
52000.0,4.7,1
53000.0,4.7,1
54000.0,4.7,1
55000.0,4.7,1
56000.0,4.7,1
57000.0,4.7,1
58000.0,4.7,1
59000.0,4.7,1
60000.0,4.7,1
61000.0,4.7,1
62000.0,4.7,1
63000.0,4.7,1
64000.0,4.7,1
65000.0,4.7,1
66000.0,4.7,1
67000.0,4.7,1
68000.0,4.7,1
69000.0,4.7,1
70000.0,4.7,1
71000.0,4.7,1
72000.0,4.7,1
73000.0,4.7,1
74000.0,4.7,1
75000.0,4.7,1
76000.0,4.7,1
77000.0,4.7,1
78000.0,4.7,1
79000.0,4.7,1
80000.0,4.7,1
81000.0,4.7,1
82000.0,4.7,1
83000.0,4.7,1
84000.0,4.7,1
85000.0,4.7,1
86000.0,4.7,1
87000.0,4.7,1
88000.0,4.7,1
89000.0,4.7,1
90000.0,4.7,1
